id	cases	file_name	md5sum	file_id	file_size
5599b7dd-7c2a-4037-ad77-11a0b4ddcb54	[{'case_id': 'bb026999-0aab-4232-96d7-2c93b6c9691d'}]	6cbfdf8b-fd71-4b6a-b360-1573ee5241a1.rna_seq.augmented_star_gene_counts.tsv	46cd73fb74d2a995678e71e2e8920b45	5599b7dd-7c2a-4037-ad77-11a0b4ddcb54	4249344
2040d4e4-0ecb-4081-9478-9d2707833a1b	[{'case_id': '52c35691-efca-42f5-a03e-02c9f872275c'}]	10376443-40df-451a-91e5-6be34850558c.rna_seq.augmented_star_gene_counts.tsv	964354a7cb6390a22972920044ccd9e5	2040d4e4-0ecb-4081-9478-9d2707833a1b	4228256
c15e9ead-0373-486e-a99b-26b96bd3ccc4	[{'case_id': '359f12f9-5c41-48a4-85bc-fd7e307bf7d8'}]	27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699.rna_seq.augmented_star_gene_counts.tsv	8ae59809488a8121e4706c1abcfbd072	c15e9ead-0373-486e-a99b-26b96bd3ccc4	4242237
280141da-fd54-4901-bc15-5d106c56fb23	[{'case_id': 'c710f4ab-fbd9-42ed-95d4-4e6d51207f38'}]	aad82145-5742-4ef6-9de3-2c57e84642fc.rna_seq.augmented_star_gene_counts.tsv	8c203f5e33166c402d485123170926c7	280141da-fd54-4901-bc15-5d106c56fb23	4220810
81f86e31-55db-4483-b6e0-55451ffbd1db	[{'case_id': '095c7985-3842-494f-b591-706ad1cd2133'}]	a31cd337-8f1a-451d-9b90-b722590d3105.rna_seq.augmented_star_gene_counts.tsv	62fdcfc9517e3d2d318f97386003af4f	81f86e31-55db-4483-b6e0-55451ffbd1db	4251415
845def46-3502-40a8-aff1-8d021906cee5	[{'case_id': 'a6502f17-6bee-4d5a-8520-06364593d39c'}]	4abffa72-e45a-405a-b53b-73900d48253d.rna_seq.augmented_star_gene_counts.tsv	5d9a2e2c4d93a0bc9eb3554a0c759406	845def46-3502-40a8-aff1-8d021906cee5	4253931
8a7fe670-bcef-4fcb-9759-9892ff5f4f61	[{'case_id': '92b5de82-0221-4df1-8094-80f40c0bb4fa'}]	a7428d3b-f84b-4c2f-a996-14a11af6b6df.rna_seq.augmented_star_gene_counts.tsv	0d687cb5c21070d7f026b730cc1f98e6	8a7fe670-bcef-4fcb-9759-9892ff5f4f61	4257837
1c74a1ed-8000-4dc0-970f-03831ca5e167	[{'case_id': '27dfb9d4-3a2c-44bc-9acf-8f638d3f3004'}]	9935bf3a-de25-401c-bf1b-5225a62b24f7.rna_seq.augmented_star_gene_counts.tsv	ece61edcff79f942e07f86f3318d1f2a	1c74a1ed-8000-4dc0-970f-03831ca5e167	4235304
2faa9332-e577-4884-94e4-b895827db8b6	[{'case_id': 'a824b3bd-34d5-4cc1-a92f-f9d6ac0f1814'}]	8b5be676-9118-4038-9d54-6b80b14e43dc.rna_seq.augmented_star_gene_counts.tsv	f7127c72f9c82b7b0d1275f7f692daad	2faa9332-e577-4884-94e4-b895827db8b6	4249339
0c0ddcd7-8b4c-4489-b642-e48c4ab4602a	[{'case_id': '9c55032f-4db7-4026-ae83-8d060dd8e3fe'}]	d1ad6c3b-4e2a-40cd-b3e6-098b845d59cb.rna_seq.augmented_star_gene_counts.tsv	62d19a6352cd8df21b7e383299c2f1b4	0c0ddcd7-8b4c-4489-b642-e48c4ab4602a	4259629
d757b1cc-31a6-495a-ae82-c63b031ece49	[{'case_id': 'ad18820b-a804-49c0-ba8a-86c09fa6bce2'}]	898f9214-8dab-4b92-9233-70c06c60078c.rna_seq.augmented_star_gene_counts.tsv	6d8884a50ab2b561dde01f32762bda4b	d757b1cc-31a6-495a-ae82-c63b031ece49	4258057
ca6e4602-bcd4-4299-bd31-37f585658b8a	[{'case_id': '9676e46b-8f29-43cd-ab65-eb6a535cced4'}]	1c3dbd2f-1c07-48cb-a844-0b1b3eb14e0d.rna_seq.augmented_star_gene_counts.tsv	c3cb640704e8f45c7b9c3631c65bcd8b	ca6e4602-bcd4-4299-bd31-37f585658b8a	4245788
f2bf29d2-4c33-4810-90e8-88f37ea47bc8	[{'case_id': '6f89509c-f802-482e-b4da-94553aa76fe9'}]	139b1f70-02f6-4f5e-84b3-81d3677b3f8c.rna_seq.augmented_star_gene_counts.tsv	773da5282d25c0e2f81ed7568ac272ca	f2bf29d2-4c33-4810-90e8-88f37ea47bc8	4258036
e25bb12b-f88b-41c5-951e-a36d4b94008f	[{'case_id': 'ca20249f-b7ea-4fd9-9ecb-34f74755ae35'}]	73e13f2d-a557-47f2-85e2-7bb8e3a48ef9.rna_seq.augmented_star_gene_counts.tsv	ac839f4384c8bb3dd2dde630b1639742	e25bb12b-f88b-41c5-951e-a36d4b94008f	4242276
71175258-a00a-4035-8f33-eb48bf04066f	[{'case_id': 'ed2617c3-5d3b-4688-9283-0f8a10e0b10d'}]	c98940e5-aff4-4eec-9cd7-708584356a5f.rna_seq.augmented_star_gene_counts.tsv	858a5ae7fc5cc984d4178cb1edecf7d8	71175258-a00a-4035-8f33-eb48bf04066f	4233113
ff1f2f31-8607-4627-b487-c5e39e7c30f5	[{'case_id': '747083ff-0703-431b-aad4-f2adff739516'}]	deb7967f-9339-4bb1-ae0b-81a72a472bba.rna_seq.augmented_star_gene_counts.tsv	536cbed0ca9f0c319c019d2c436140ec	ff1f2f31-8607-4627-b487-c5e39e7c30f5	4217312
63454d5d-a654-4be0-b812-dd5c98d07ea1	[{'case_id': 'fa176764-a76f-44c7-b97a-cd6d21e052be'}]	c63e3277-327a-4259-84f2-13d9a2c2d68a.rna_seq.augmented_star_gene_counts.tsv	7a7867b463c4bf060145520a9708fcb6	63454d5d-a654-4be0-b812-dd5c98d07ea1	4231681
e2a43c17-8973-49bc-a1f3-30afa26ef5f1	[{'case_id': 'b804f7ae-da8f-4414-be11-f880f1859160'}]	4ac28e68-1f0c-4e95-bdb3-4afc7dcfc34c.rna_seq.augmented_star_gene_counts.tsv	0f8f43e8d3fa45f91f5974b0277934f0	e2a43c17-8973-49bc-a1f3-30afa26ef5f1	4250639
064215bd-9ec9-4a16-8ea2-9c6604156398	[{'case_id': '0f7ab21b-1fd0-45e0-9a47-17c4691eb84f'}]	af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts.tsv	bfffdb8c2737fa2b2330fd7c474088fe	064215bd-9ec9-4a16-8ea2-9c6604156398	4253697
fc1ea7f7-814a-43c5-a841-fb0c11734603	[{'case_id': '6f0fd68f-ed6a-4c9e-be02-c97ba4950f76'}]	10ce58cf-c9ee-4be2-899d-4c20c788effc.rna_seq.augmented_star_gene_counts.tsv	30227d8cefd9f97d8f65186c53439204	fc1ea7f7-814a-43c5-a841-fb0c11734603	4249835
